"","executive_order_number","title","publication_date","signing_date","citation","document_number","executive_order_notes","html_url","president","year"
"76",13563,"Improving Regulation and Regulatory Review","01/21/2011","01/18/2011","76 FR 3821"," 2011-1385","See: EO 12866, September 30, 1993; EO 13579, July 11, 2011","https://www.federalregister.gov/articles/2011/01/21/2011-1385/improving-regulation-and-regulatory-review","Obama",2011
"77",13564,"Establishment of the President's Council on Jobs and Competitiveness","02/03/2011","01/31/2011","76 FR 6309"," 2011-2577","Revokes: EO 13501, February 6, 2009","https://www.federalregister.gov/articles/2011/02/03/2011-2577/establishment-of-the-presidents-council-on-jobs-and-competitiveness","Obama",2011
"78",13565,"Establishment of the Intellectual Property Enforcement Advisory Committees","02/11/2011","02/08/2011","76 FR 7681"," 2011-3257","","https://www.federalregister.gov/articles/2011/02/11/2011-3257/establishment-of-the-intellectual-property-enforcement-advisory-committees","Obama",2011
"79",13566,"Blocking Property and Prohibiting Certain Transactions Related to Libya","03/02/2011","02/25/2011","76 FR 11315"," 2011-4753","","https://www.federalregister.gov/articles/2011/03/02/2011-4753/blocking-property-and-prohibiting-certain-transactions-related-to-libya","Obama",2011
"80",13567,"Periodic Review of Individuals Detained at Guantánamo Bay Naval Station Pursuant to the Authorization for Use of Military Force","03/10/2011","03/07/2011","76 FR 13275"," 2011-5728","See: EO 13491, January 22, 2009; EO 13492, January 22, 2009","https://www.federalregister.gov/articles/2011/03/10/2011-5728/periodic-review-of-individuals-detained-at-guantnamo-bay-naval-station-pursuant-to-the-authorization","Obama",2011
"81",13568,"Extending Provisions of the International Organizations Immunities Act to the Office of the High Representative in Bosnia and Herzegovina and the International Civilian Office in Kosovo","03/11/2011","03/08/2011","76 FR 13495"," 2011-5903","","https://www.federalregister.gov/articles/2011/03/11/2011-5903/extending-provisions-of-the-international-organizations-immunities-act-to-the-office-of-the-high","Obama",2011
"82",13569,"Amendments to Executive Orders 12824, 12835, 12859, and 13532, Reestablishment Pursuant to Executive Order 13498, and Revocation of Executive Order 13507","04/08/2011","04/05/2011","76 FR 19889"," 2011-8642","Amends: EO 12824, December 7, 1992; EO 12835, January 25, 1993; EO 12859, August 16, 1993; EO 13532, February 26, 2010;
; ;  Revokes: EO 13507, April 8, 2009;
; ;  See: EO 13498, February 5, 2009","https://www.federalregister.gov/articles/2011/04/08/2011-8642/amendments-to-executive-orders-12824-12835-12859-and-13532-reestablishment-pursuant-to-executive","Obama",2011
"83",13570,"Prohibiting Certain Transactions With Respect to North Korea","04/20/2011","04/18/2011","76 FR 22289"," 2011-9739","See: EO 13466, June 26, 2008; EO 13551, August 30, 2010","https://www.federalregister.gov/articles/2011/04/20/2011-9739/prohibiting-certain-transactions-with-respect-to-north-korea","Obama",2011
"84",13571,"Streamlining Service Delivery and Improving Customer Service","05/02/2011","04/27/2011","76 FR 24339"," 2011-10732","See: EO 12862, September 11, 1993; Memoranda of March 22, 1995, and March 3, 1998","https://www.federalregister.gov/articles/2011/05/02/2011-10732/streamlining-service-delivery-and-improving-customer-service","Obama",2011
"85",13572,"Blocking Property of Certain Persons With Respect to Human Rights Abuses in Syria","05/03/2011","04/29/2011","76 FR 24787"," 2011-10910","See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13573, May 18, 2011; EO 13582, August 17, 2011","https://www.federalregister.gov/articles/2011/05/03/2011-10910/blocking-property-of-certain-persons-with-respect-to-human-rights-abuses-in-syria","Obama",2011
"86",13573,"Blocking Property of Senior Officials of the Government of Syria","05/20/2011","05/18/2011","76 FR 29143"," 2011-12645","See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13582, August 17, 2011","https://www.federalregister.gov/articles/2011/05/20/2011-12645/blocking-property-of-senior-officials-of-the-government-of-syria","Obama",2011
"87",13574,"Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996, as Amended","05/25/2011","05/23/2011","76 FR 30505"," 2011-13173","See: EO 12957, March 15, 1995","https://www.federalregister.gov/articles/2011/05/25/2011-13173/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-sanctions-act-of-1996-as","Obama",2011
"88",13575,"Establishment of the White House Rural Council","06/14/2011","06/09/2011","76 FR 34839"," 2011-14919","","https://www.federalregister.gov/articles/2011/06/14/2011-14919/establishment-of-the-white-house-rural-council","Obama",2011
"89",13576,"Delivering an Efficient, Effective, and Accountable Government","06/16/2011","06/13/2011","76 FR 35295"," 2011-15181","","https://www.federalregister.gov/articles/2011/06/16/2011-15181/delivering-an-efficient-effective-and-accountable-government","Obama",2011
"90",13577,"Establishment of the SelectUSA Initiative","06/20/2011","06/15/2011","76 FR 35715"," 2011-15443","","https://www.federalregister.gov/articles/2011/06/20/2011-15443/establishment-of-the-selectusa-initiative","Obama",2011
"91",13578,"Coordinating Policies on Automotive Communities and Workers","07/11/2011","07/06/2011","76 FR 40591"," 2011-17447","Revokes: EO 13509, June 23, 2009","https://www.federalregister.gov/articles/2011/07/11/2011-17447/coordinating-policies-on-automotive-communities-and-workers","Obama",2011
"92",13579,"Regulation and Independent Regulatory Agencies","07/14/2011","07/11/2011","76 FR 41585"," 2011-17953","See: EO 12866, September 30, 1993; EO 13563, January 18, 2011","https://www.federalregister.gov/articles/2011/07/14/2011-17953/regulation-and-independent-regulatory-agencies","Obama",2011
"93",13580,"Interagency Working Group on Coordination of Domestic Energy Development and Permitting in Alaska","07/15/2011","07/12/2011","76 FR 41987"," 2011-18065","See: EO 13547, June 19, 2010","https://www.federalregister.gov/articles/2011/07/15/2011-18065/interagency-working-group-on-coordination-of-domestic-energy-development-and-permitting-in-alaska","Obama",2011
